,original_title,release_year,genre,duration,country,content_rating,director,income,_votes_,score
69,The Great Dictator,1945-06-25,Comedy,125,USA,,Charles Chaplin,969879,197381,8.0
70,Sunset Blvd.,,Drama,110,USA,,Billy Wilder,299645,195789,8.0
71,Inglourious Basterds,2009-10-02,Adventure,153,Germany,R,Quentin Tarantino,321455689,1229958,8.0
72,American Beauty,2000-01-21,Drama,122,USA,R,Sam Mendes,356296601,1049009,8.0
73,Braveheart,1995-12-01,Biography,178,USA,R,Mel Gibson,213216216,941683,7.9
74,Star Wars: Episode VI - Return of the Jedi,1983-10-21,Action,131,USA,PG,Richard Marquand,475347111,928036,7.9
75,Reservoir Dogs,1992-10-09,Crime,99,USA,R,Quentin Tarantino,2889963,896551,7.9
76,Eternal Sunshine of the Spotless Mind,2004-10-22,Drama,108,USA,R,Michel Gondry,74036715,889875,7.9
77,Toy Story,1996-03-22,Animation,81,USA,G,John Lasseter,404265438,864461,7.9
78,Good Will Hunting,1998-03-06,Drama,126,USA,R,Gus Van Sant,225933435,837379,7.8
79,Snatch,2001-03-16,Comedy,104,UK,R,Guy Ritchie,83557872,766589,7.8
80,Requiem for a Dream,2000-12-15,Drama,102,USA,R,Darren Aronofsky,7390108,748291,7.8
81,A Clockwork Orange,1972-09-07,Crime,136,UK,,Stanley Kubrick,26903440,740301,7.8
82,Toy Story 3,2010-07-07,Animation,103,USA,G,Lee Unkrich,1066969703,739717,7.8
83,Scarface,,Crime,170,USA,R,Brian De Palma,66023585,721343,7.8
84,Taxi Driver,,Crime,114,USA,R,Martin Scorsese,28441292,703264,7.7
85,Le fabuleux destin d'AmÃ©lie Poulain,2002-01-25,Comedy,122,France,R,Jean-Pierre Jeunet,173924742,690480,7.7
86,Full Metal Jacket,1987-10-09,Drama,116,UK,,Stanley Kubrick,46357676,658175,7.7
87,Aliens,1986-09-24,Action,137,USA,R,James Cameron,131384634,639500,7.7
88,2001: A Space Odyssey,1968-12-12,Adventure,149,UK,G,Stanley Kubrick,68989547,587866,7.6
89,Citizen Kane,1948-11-25,Drama,119,USA,,Orson Welles,1594107,389322,7.6
90,1917,2020-01-23,Drama,119,USA,,Sam Mendes,384857224,362897,7.6
91,Amadeus,1985-02-15,Biography,160,USA,R,Milos Forman,52066791,361028,7.6
92,Vertigo,1958-11-18,Mystery,128,USA,,Alfred Hitchcock,7796389,352786,7.5
93,North by Northwest,1959-10-28,Adventure,136,USA,,Alfred Hitchcock,73446,291628,7.5
94,Jagten,2012-11-22,Drama,115,Denmark,R,Thomas Vinterberg,15843274,269616,7.5
95,Lawrence of Arabia,1963-10-29,Adventure,228,UK,PG,David Lean,45710874,261504,7.5
96,The Sting,1974-03-21,Comedy,129,USA,PG,George Roy Hill,156000000,236285,7.5
97,Das Boot,1982-03-18,Adventure,149,Germany,R,Wolfgang Petersen,11487676,226427,7.5
98,Per qualche dollaro in piÃ¹,1965-12-20,Western,132,Italy,,Sergio Leone,15000000,226039,7.4
99,Jodaeiye Nader az Simin,2011-10-21,Drama,123,Iran,PG-13,Asghar Farhadi,22926076,214165,7.4
100,Singin' in the Rain,1953-02-05,Comedy,103,USA,,Stanley Donen,1864182,213152,7.4
